PartNumber,PartDescription,Location,Qty,UOM,Cost,Date,Note,Tracking-Lot Number,Tracking-Revision Level,Tracking-Expiration Date
123,TEST ITEM -- FILLER,Main-Stock,99929,ea,0,,,,,
89557100210,Screw Grab,Main-Stock,12,ea,2.75,,,,,
685387350568,Griffin Elan Folio Case for iPad 2 3 & 4th Gen � Red Cabana Stripe,Main-Stock,93,ea,0,,,,,
ACC-APL-0006,Plastic Back Case Cover for iPhone 3G 3GS  Clear,Main-Stock,4,ea,1.08,,,,,
ACC-APL-0024,Plastic Back Case Cover for iPhone 3G 3GS  Pink,Main-Stock,4,ea,1.08,,,,,
ACC-APL-0042,Plastic Back Case Cover for iPhone 3G 3GS  Yellow,Main-Stock,4,ea,1.08,,,,,
ACC-APL-0054,Rubber Back Case Cover for iPhone 3G 3GS  Black,Main-Stock,5,ea,0,,,,,
ACC-APL-0060,Rubber Back Case Cover for iPhone 3G 3GS  Blue,Main-Stock,10,ea,0.98182,,,,,
ACC-APL-0066,Rubber Back Case Cover for iPhone 3G 3GS  Red,Main-Stock,4,ea,0,,,,,
ACC-APL-0072,Rubber Back Case Cover for iPhone 3G 3GS  White,Main-Stock,5,ea,0.648,,,,,
ACC-APL-0078,Rubber Back Case Cover for iPhone 3G 3GS  Yellow,Main-Stock,5,ea,0,,,,,
ACC-APL-0090,Alligator Skin Hard Shell Case for iPhone 4 4S Brown,Main-Stock,9,ea,5,,,,,
ACC-APL-0096,Alligator Skin Hard Shell Case for iPhone 4 4S Pink,Main-Stock,8,ea,2.68,,,,,
ACC-APL-0102,Alligator Skin Hard Shell Case for iPhone 4 4S Red,Main-Stock,12,ea,0,,,,,
ACC-APL-0114,Carbon Fiber Back Cover Case for iPhone 4 4S White,Main-Stock,23,ea,2.68,,,,,
ACC-APL-0120,Alligator Skin Leather Pouch Back Cover Case for iPhone 4 4S Black,Main-Stock,9,ea,0,,,,,
ACC-APL-0126,Alligator Skin Leather Pouch Back Cover Case for iPhone 4 4S White,Main-Stock,4,ea,0.2625,,,,,
ACC-APL-0138,Bumper Case with Metal Keys for iPhone 4 4S Baby Blue,Main-Stock,57,ea,1.03,,,,,
ACC-APL-0144,Bumper Case with Metal Keys for iPhone 4 4S Baby Blue Black,Main-Stock,87,ea,0.94899,,,,,
ACC-APL-0156,Bumper Case with Metal Keys for iPhone 4 4S Blurple and Black,Main-Stock,86,ea,1.03,,,,,
ACC-APL-0162,Bumper Case with Metal Keys for iPhone 4 4S Green,Main-Stock,190,ea,1.03,,,,,
ACC-APL-0168,Bumper Case with Metal Keys for iPhone 4 4S Green and Black,Main-Stock,6,ea,0,,,,,
ACC-APL-0174,Bumper Case with Metal Keys for iPhone 4 4S Orange,Main-Stock,82,ea,1.03,,,,,
ACC-APL-0180,Bumper Case with Metal Keys for iPhone 4 4S Orange and Black,Main-Stock,10,ea,0.19592,,,,,
ACC-APL-0186,Bumper Case with Metal Keys for iPhone 4 4S Pink,Main-Stock,105,ea,1.03,,,,,
ACC-APL-0192,Bumper Case with Metal Keys for iPhone 4 4S Pink and Black,Main-Stock,28,ea,0.67483,,,,,
ACC-APL-0198,Bumper Case with Metal Keys for iPhone 4 4S Red and Black,Main-Stock,7,ea,0.08805,,,,,
ACC-APL-0204,Bumper Case for iPhone 4 4S White,Main-Stock,155,ea,1.03,,,,,
ACC-APL-0210,Bumper Case with Metal Keys for iPhone 4 4S White and Black,Main-Stock,2,ea,1,,,,,
ACC-APL-0216,Bumper Case with Metal Keys for iPhone 4 4S Yellow and Black,Main-Stock,39,ea,1.03,,,,,
ACC-APL-0222,Calculator Rubber Back Cover for iPhone 4 4S Black,Main-Stock,4,ea,0,,,,,
ACC-APL-0228,Calculator Rubber Back Cover for iPhone 4 4S Light Blue,Main-Stock,1,ea,1.11,,,,,
ACC-APL-0234,Calculator Rubber Back Cover for iPhone 4 4S Red,Main-Stock,1,ea,0.2775,,,,,
ACC-APL-0240,Calculator Rubber Back Cover for iPhone 4 4S White,Main-Stock,15,ea,1.11,,,,,
ACC-APL-0246,Dripping Ice Cream Case for iPhone 4 4S Black / Gray,Main-Stock,4,ea,5.83333,,,,,
ACC-APL-0252,Dripping Ice Cream Case for iPhone 4 4S Green / Pink,Main-Stock,2,ea,5,,,,,
ACC-APL-0258,Dripping Ice Cream Case for iPhone 4 4S Orange / Blue,Main-Stock,5,ea,0,,,,,
ACC-APL-0276,Dripping Ice Cream Case for iPhone 4 4S White / Gray,Main-Stock,8,ea,2.14,,,,,
ACC-APL-0282,Dripping Ice Cream Case for iPhone 4 4S White / Red,Main-Stock,9,ea,2.14,,,,,
ACC-APL-0294,Hard Shell Glitter Cover DIVA Case for iPhone 4 4S Black,Main-Stock,5,ea,0.31688,,,,,
ACC-APL-0300,Hard Shell Glitter Cover DIVA Case for iPhone 4 4S Dark Blue,Main-Stock,5,ea,1.87,,,,,
ACC-APL-0306,Hard Shell Glitter Cover DIVA Case for iPhone 4 4S Gold,Main-Stock,3,ea,0,,,,,
